级别,函数名,非独占样本数,独占样本数,非独占样本数百分比,独占样本数百分比,模块名,
0,"[360GarbageCleanerShellExt64.dll]",10,0,0.11,0.00,"360GarbageCleanerShellExt64.dll",
1,"[360GarbageCleanerShellExt64.dll]",10,0,0.11,0.00,"360GarbageCleanerShellExt64.dll",
2,"[360GarbageCleanerShellExt64.dll]",10,0,0.11,0.00,"360GarbageCleanerShellExt64.dll",
3,"[360GarbageCleanerShellExt64.dll]",10,0,0.11,0.00,"360GarbageCleanerShellExt64.dll",
4,"[360GarbageCleanerShellExt64.dll]",7,1,0.08,0.01,"360GarbageCleanerShellExt64.dll",
5,"[360GarbageCleanerShellExt64.dll]",6,0,0.07,0.00,"360GarbageCleanerShellExt64.dll",
6,"[kernel32.dll]",5,5,0.05,0.05,"kernel32.dll",
6,"[360GarbageCleanerShellExt64.dll]",1,0,0.01,0.00,"360GarbageCleanerShellExt64.dll",
7,"[360GarbageCleanerShellExt64.dll]",1,1,0.01,0.01,"360GarbageCleanerShellExt64.dll",
4,"[user32.dll]",2,2,0.02,0.02,"user32.dll",
4,"[ntdll.dll]",1,1,0.01,0.01,"ntdll.dll",
0,"endecryption.MainWindow.MenuSaveall_Click",5,0,0.05,0.00,"加密解密工具.exe",
1,"endecryption.MainWindow.SaveCipher",5,0,0.05,0.00,"加密解密工具.exe",
2,"[PresentationFramework.ni.dll]",5,5,0.05,0.05,"PresentationFramework.ni.dll",
0,"[obexpf.dll]",4,0,0.04,0.00,"obexpf.dll",
1,"[obexpf.dll]",4,0,0.04,0.00,"obexpf.dll",
2,"[obexpf.dll]",4,0,0.04,0.00,"obexpf.dll",
3,"[obexpf.dll]",3,0,0.03,0.00,"obexpf.dll",
4,"[mfc90u.dll]",3,3,0.03,0.03,"mfc90u.dll",
3,"[mfc90u.dll]",1,1,0.01,0.01,"mfc90u.dll",
0,"[360udiskguard64.dll]",4,0,0.04,0.00,"360udiskguard64.dll",
1,"[360udiskguard64.dll]",4,0,0.04,0.00,"360udiskguard64.dll",
2,"[360udiskguard64.dll]",2,0,0.02,0.00,"360udiskguard64.dll",
3,"[KernelBase.dll]",1,1,0.01,0.01,"KernelBase.dll",
3,"[360udiskguard64.dll]",1,0,0.01,0.00,"360udiskguard64.dll",
4,"[360udiskguard64.dll]",1,0,0.01,0.00,"360udiskguard64.dll",
5,"[360udiskguard64.dll]",1,0,0.01,0.00,"360udiskguard64.dll",
6,"[360udiskguard64.dll]",1,0,0.01,0.00,"360udiskguard64.dll",
7,"[360udiskguard64.dll]",1,0,0.01,0.00,"360udiskguard64.dll",
8,"[360udiskguard64.dll]",1,0,0.01,0.00,"360udiskguard64.dll",
9,"[360udiskguard64.dll]",1,1,0.01,0.01,"360udiskguard64.dll",
2,"[KernelBase.dll]",2,2,0.02,0.02,"KernelBase.dll",
0,"endecryption.MainWindow.SaveClear",2,0,0.02,0.00,"加密解密工具.exe",
1,"[PresentationFramework.ni.dll]",2,2,0.02,0.02,"PresentationFramework.ni.dll",
