函数名,独占样本数,独占样本数百分比,非独占样本数,非独占样本数百分比,源行开始,源字符开始,源行结束,源字符结束,
"[obexpf.dll]",0,0.00,4,0.04,0,0,0,0,
"AESalgorithm.AES.AESDecrypt",0,0.00,1,0.01,0,0,0,0,
"DESalgorithm.DES.Encrypt",0,0.00,33,0.36,0,0,0,0,
"endecryption.AboutBox..ctor",0,0.00,53,0.58,15,13,15,35,
"endecryption.AboutBox..ctor",0,0.00,2,0.02,17,13,17,58,
"endecryption.AboutBox..ctor",0,0.00,1,0.01,18,13,18,79,
"endecryption.AboutBox..ctor",0,0.00,1,0.01,19,13,19,58,
"endecryption.AboutBox..ctor",0,0.00,2,0.02,20,13,20,58,
"endecryption.AboutBox..ctor",0,0.00,2,0.02,21,13,21,64,
"endecryption.AboutBox.InitializeComponent",0,0.00,1,0.01,30,13,30,81,
"endecryption.AboutBox.InitializeComponent",0,0.00,11,0.12,36,13,36,74,
"endecryption.AboutBox.InitializeComponent",0,0.00,1,0.01,37,13,37,63,
"endecryption.AboutBox.InitializeComponent",0,0.00,1,0.01,54,13,54,78,
"endecryption.AboutBox.InitializeComponent",0,0.00,4,0.04,56,13,56,61,
"endecryption.AboutBox.InitializeComponent",0,0.00,10,0.11,70,13,70,89,
"endecryption.AboutBox.InitializeComponent",0,0.00,1,0.01,89,13,89,90,
"endecryption.AboutBox.InitializeComponent",0,0.00,1,0.01,147,13,147,66,
"endecryption.AboutBox.InitializeComponent",0,0.00,2,0.02,169,13,169,51,
"endecryption.AboutBox.InitializeComponent",0,0.00,1,0.01,170,13,170,89,
"endecryption.App.Main",0,0.00,"8,623",94.82,0,0,0,0,
"endecryption.MainWindow.AESdecrypt_Click",0,0.00,5,0.05,49,13,49,101,
"endecryption.MainWindow.AESencrypt_Click",0,0.00,6,0.07,44,13,44,101,
"endecryption.MainWindow.CreateFile",0,0.00,25,0.27,393,13,393,52,
"endecryption.MainWindow.CreateFile",0,0.00,7,0.08,397,13,397,24,
"endecryption.MainWindow.DESencrypt_Click",0,0.00,41,0.45,164,13,164,98,
"endecryption.MainWindow.MD5encrypt_Click",0,0.00,14,0.15,199,13,199,94,
"endecryption.MainWindow.MenuAbout_Click",0,0.00,63,0.69,274,13,274,35,
"endecryption.MainWindow.MenuSaveall_Click",0,0.00,"2,226",24.48,319,13,319,34,
"endecryption.MainWindow.RSAalg_GotFocus",0,0.00,1,0.01,301,9,301,10,
"endecryption.MainWindow.RSAencrypt_Click",0,0.00,29,0.32,186,13,186,59,
"endecryption.MainWindow.RSAencrypt_Click",0,0.00,1,0.01,189,9,189,10,
"endecryption.MainWindow.SaveCipher",0,0.00,2,0.02,351,17,351,105,
"endecryption.MainWindow.SaveCipher",0,0.00,6,0.07,352,17,352,105,
"endecryption.MainWindow.SaveCipher",0,0.00,6,0.07,353,17,353,105,
"endecryption.MainWindow.SaveCipher",0,0.00,5,0.05,354,17,354,105,
"endecryption.MainWindow.SaveCipher",0,0.00,3,0.03,355,17,355,109,
"endecryption.MainWindow.SaveCipher",0,0.00,2,0.02,357,9,357,10,
"endecryption.MainWindow.SaveClear",0,0.00,2,0.02,383,17,383,105,
"endecryption.MainWindow.SaveClear",0,0.00,6,0.07,384,17,384,105,
"endecryption.MainWindow.SaveClear",0,0.00,5,0.05,385,17,385,105,
"endecryption.MainWindow.SaveClear",0,0.00,6,0.07,386,17,386,105,
"endecryption.MainWindow.SaveClear",0,0.00,2,0.02,387,17,387,109,
"endecryption.MainWindow.SaveClear",0,0.00,3,0.03,389,9,389,10,
"endecryption.Properties.Resources.get_CT_MP",0,0.00,9,0.10,78,17,78,82,
"MD5algorithm.MD5Crypto.MD5Encrypt",0,0.00,1,0.01,0,0,0,0,
"RSAalgorithm.RSA.RSAKey",0,0.00,28,0.31,0,0,0,0,
