类型,根函数名,函数名,非独占样本数,独占样本数,非独占样本数百分比,独占样本数百分比,
"Caller","endecryption.MainWindow.setrichtextboxtext","[PresentationFramework.ni.dll]",8,0,0.09,0.00,
"Caller","endecryption.MainWindow.setrichtextboxtext","endecryption.MainWindow.RSAencrypt_Click",2,0,0.02,0.00,
"Callee","endecryption.MainWindow.setrichtextboxtext","[PresentationFramework.ni.dll]",10,10,0.11,0.11,
"Root","endecryption.Properties.Resources.get_CT_MP","endecryption.Properties.Resources.get_CT_MP",9,0,0.10,0.00,
"Caller","endecryption.Properties.Resources.get_CT_MP","endecryption.AboutBox.InitializeComponent",9,0,0.10,0.00,
"Callee","endecryption.Properties.Resources.get_CT_MP","[clr.dll]",1,1,0.01,0.01,
"Callee","endecryption.Properties.Resources.get_CT_MP","[mscorlib.ni.dll]",8,8,0.09,0.09,
"Root","MD5algorithm.MD5Crypto.MD5Encrypt","MD5algorithm.MD5Crypto.MD5Encrypt",1,0,0.01,0.00,
"Caller","MD5algorithm.MD5Crypto.MD5Encrypt","endecryption.MainWindow.MD5encrypt_Click",1,0,0.01,0.00,
"Callee","MD5algorithm.MD5Crypto.MD5Encrypt","[mscorlib.ni.dll]",1,1,0.01,0.01,
"Root","RSAalgorithm.RSA.RSAKey","RSAalgorithm.RSA.RSAKey",28,0,0.31,0.00,
"Caller","RSAalgorithm.RSA.RSAKey","endecryption.MainWindow.RSAencrypt_Click",28,0,0.31,0.00,
"Callee","RSAalgorithm.RSA.RSAKey","[mscorlib.ni.dll]",28,28,0.31,0.31,
